map,agent,pick%,win%
overall,yoru,60%,53.0%
overall,omen,53%,49.4%
overall,viper,52%,48.3%
overall,sova,46%,46.2%
overall,astra,42%,52.9%
overall,waylay,39%,56.1%
overall,neon,38%,45.3%
overall,fade,36%,51.7%
overall,killjoy,21%,48.6%
overall,cypher,14%,50.0%
overall,brimstone,13%,50.0%
overall,tejo,13%,45.5%
overall,raze,13%,45.5%
overall,breach,10%,41.2%
overall,skye,8%,57.1%
overall,jett,8%,46.2%
overall,veto,7%,41.7%
overall,kayo,6%,40.0%
overall,chamber,5%,62.5%
overall,phoenix,4%,71.4%
overall,gekko,4%,71.4%
overall,reyna,2%,0.0%
overall,sage,2%,100.0%
overall,iso,1%,50.0%
overall,harbor,1%,50.0%
overall,vyse,1%,50.0%
overall,deadlock,0%,0%
overall,clove,0%,0%
overall,miks,0%,0%
abyss,yoru,65%,54.5%
abyss,omen,44%,60.0%
abyss,viper,0%,0%
abyss,sova,76%,46.2%
abyss,astra,100%,50.0%
abyss,waylay,82%,50.0%
abyss,neon,3%,0.0%
abyss,fade,0%,0%
abyss,killjoy,0%,0%
abyss,cypher,15%,40.0%
abyss,brimstone,0%,0%
abyss,tejo,26%,55.6%
abyss,raze,0%,0%
abyss,breach,32%,54.5%
abyss,skye,0%,0%
abyss,jett,15%,60.0%
abyss,veto,29%,50.0%
abyss,kayo,3%,0.0%
abyss,chamber,0%,0%
abyss,phoenix,0%,0%
abyss,gekko,0%,0%
abyss,reyna,9%,0.0%
abyss,sage,0%,0%
abyss,iso,0%,0%
abyss,harbor,0%,0%
abyss,vyse,0%,0%
abyss,deadlock,0%,0%
abyss,clove,0%,0%
abyss,miks,0%,0%
split,yoru,57%,50.0%
split,omen,100%,50.0%
split,viper,89%,48.0%
split,sova,0%,0%
split,astra,0%,0%
split,waylay,61%,58.8%
split,neon,36%,50.0%
split,fade,71%,45.0%
split,killjoy,0%,0%
split,cypher,11%,66.7%
split,brimstone,0%,0%
split,tejo,0%,0%
split,raze,29%,50.0%
split,breach,14%,25.0%
split,skye,29%,62.5%
split,jett,0%,0%
split,veto,0%,0%
split,kayo,0%,0%
split,chamber,4%,0.0%
split,phoenix,0%,0%
split,gekko,0%,0%
split,reyna,0%,0%
split,sage,0%,0%
split,iso,0%,0%
split,harbor,0%,0%
split,vyse,0%,0%
split,deadlock,0%,0%
split,clove,0%,0%
split,miks,0%,0%
haven,yoru,31%,62.5%
haven,omen,100%,50.0%
haven,viper,62%,50.0%
haven,sova,100%,50.0%
haven,astra,0%,0%
haven,waylay,4%,100.0%
haven,neon,88%,47.8%
haven,fade,0%,0%
haven,killjoy,54%,42.9%
haven,cypher,38%,50.0%
haven,brimstone,0%,0%
haven,tejo,0%,0%
haven,raze,0%,0%
haven,breach,8%,0.0%
haven,skye,0%,0%
haven,jett,0%,0%
haven,veto,0%,0%
haven,kayo,0%,0%
haven,chamber,8%,100.0%
haven,phoenix,0%,0%
haven,gekko,0%,0%
haven,reyna,0%,0%
haven,sage,0%,0%
haven,iso,8%,50.0%
haven,harbor,0%,0%
haven,vyse,0%,0%
haven,deadlock,0%,0%
haven,clove,0%,0%
haven,miks,0%,0%
pearl,yoru,71%,58.8%
pearl,omen,0%,0%
pearl,viper,0%,0%
pearl,sova,38%,33.3%
pearl,astra,92%,50.0%
pearl,waylay,21%,80.0%
pearl,neon,63%,33.3%
pearl,fade,46%,63.6%
pearl,killjoy,88%,52.4%
pearl,cypher,0%,0%
pearl,brimstone,8%,50.0%
pearl,tejo,46%,45.5%
pearl,raze,0%,0%
pearl,breach,0%,0%
pearl,skye,0%,0%
pearl,jett,0%,0%
pearl,veto,0%,0%
pearl,kayo,8%,50.0%
pearl,chamber,4%,0.0%
pearl,phoenix,8%,50.0%
pearl,gekko,0%,0%
pearl,reyna,0%,0%
pearl,sage,0%,0%
pearl,iso,0%,0%
pearl,harbor,0%,0%
pearl,vyse,8%,50.0%
pearl,deadlock,0%,0%
pearl,clove,0%,0%
pearl,miks,0%,0%
bind,yoru,50%,54.5%
bind,omen,0%,0%
bind,viper,95%,52.4%
bind,sova,0%,0%
bind,astra,0%,0%
bind,waylay,36%,62.5%
bind,neon,0%,0%
bind,fade,73%,50.0%
bind,killjoy,0%,0%
bind,cypher,5%,0.0%
bind,brimstone,91%,50.0%
bind,tejo,9%,0.0%
bind,raze,64%,42.9%
bind,breach,0%,0%
bind,skye,27%,50.0%
bind,jett,0%,0%
bind,veto,0%,0%
bind,kayo,9%,50.0%
bind,chamber,18%,75.0%
bind,phoenix,9%,50.0%
bind,gekko,0%,0%
