Agent,Player,Rnd,ACS,K/D,KAST%,ADR,KPR
astra,happywei,129,251.5,1.66,82%,163.8,0.9
astra,jkuro,121,198.2,1.06,76%,131.9,0.69
astra,Erv,100,215.2,1.28,74%,133,0.77
astra,OBONE,72,190,0.92,69%,141,0.61
astra,Haodong,69,171.3,0.95,74%,129,0.61
astra,nephh,68,207.3,1.15,84%,143.7,0.69
astra,qiutiaN,50,200.5,0.89,80%,141,0.62
astra,CHICHOO,80,186.3,1.08,69%,124.5,0.65
astra,K1ra,106,175.6,1,76%,109.3,0.59
astra,rushia,195,196.8,1.01,74%,126,0.66
astra,Smoggy,131,194.7,1.12,71%,100,0.72
astra,LuoK1ng,110,162.6,0.89,71%,110.8,0.62
astra,Flex1n,117,148,0.75,68%,100.2,0.53
astra,jowa,80,169.3,0.68,61%,110.8,0.54
breach,bud,250,176.6,0.91,66%,121.1,0.64
breach,FengF,94,174,0.84,74%,124.3,0.62
brimstone,jowa,59,276.7,1.7,83%,171.4,0.95
brimstone,sScary,88,169.3,0.71,72%,109.9,0.51
chamber,qiutiaN,78,216,1.2,70%,142.9,0.78
cypher,Yuicaw,147,203.1,0.98,79%,148.6,0.67
cypher,vo0kashu,242,204.1,1.24,71%,138.7,0.75
fade,Nicc,62,251,1.41,77%,161.6,0.94
fade,Viva,56,193.7,1.18,84%,131.8,0.7
fade,Shr1mp,96,201.5,0.93,67%,122.3,0.67
fade,Knight,96,186.3,0.98,68%,127.5,0.65
fade,sword9,163,164,0.96,71%,105,0.56
fade,coconut,155,169.8,0.86,65%,110.6,0.61
fade,nobody,160,189.4,0.96,65%,120.2,0.68
fade,WsLeo,157,173.9,0.96,72%,114.5,0.64
fade,Biank,99,149,0.73,67%,100,0.54
fade,heybay,54,148.5,0.81,71%,59,0.54
gekko,Nicc,84,148.8,0.83,65%,97.4,0.54
gekko,bud,68,149,0.83,72%,103.2,0.57
jett,ZmjjKK,98,250.6,1.2,75%,170.6,0.93
killjoy,AAAAY,93,210.2,1.12,65%,158.7,0.8
killjoy,qiutiaN,61,185.3,1.08,78%,139,0.67
killjoy,Abo,63,205,1.22,66%,117.6,0.7
killjoy,CHICHOO,56,214,1.13,79%,148.5,0.79
killjoy,GREEN,54,234.5,0.98,54%,130,0.8
killjoy,Lysoar,61,175.3,0.9,75%,124.5,0.62
killjoy,slowly,59,224,1.21,62%,121.8,0.78
killjoy,bud,68,140.3,0.69,66%,104.6,0.49
neon,whzy,113,255.4,1.26,78%,160.2,0.9
neon,Spring,61,241,1.04,76%,168,0.82
neon,Kai,103,223.4,1.12,72%,137.5,0.8
neon,stew,133,222.6,1.15,75%,151.1,0.81
neon,Dynamite,63,208.7,1.14,75%,126.5,0.78
neon,ZmjjKK,117,239.3,1.09,68%,146.9,0.84
neon,splash,177,249,1.09,65%,147.5,0.85
neon,Abo,112,194.4,0.84,65%,123.6,0.67
neon,Akeman,180,206.1,0.88,70%,134,0.7
neon,GuanG,87,181.3,0.84,54%,113.1,0.7
neon,Life,77,166.5,0.62,58%,122.5,0.55
omen,Erv,206,206.6,1.12,71%,127.5,0.74
omen,Smoggy,227,193.7,1.05,75%,133.1,0.68
omen,Lysoar,195,193.4,1.11,79%,120.1,0.68
omen,jowa,80,216.8,1.04,70%,121.8,0.74
omen,iamgrq,87,170.8,0.91,81%,123.8,0.56
omen,nephh,250,189.9,0.91,72%,121.3,0.66
omen,OBONE,76,157.8,0.64,64%,118.1,0.51
omen,LuoK1ng,104,159.4,0.85,71%,108.6,0.58
omen,Flex1n,146,192.1,0.84,68%,121.2,0.64
omen,jkuro,202,196.5,0.96,73%,113.1,0.69
omen,Haodong,106,144.4,0.76,66%,93.7,0.51
phoenix,ZmjjKK,57,218,0.91,69%,142.1,0.72
raze,K1ra,115,254.8,1.24,65%,163.2,0.9
raze,stew,79,201.8,1,70%,133.6,0.71
reyna,SpiritZ1,90,209,0.92,59%,131.8,0.77
sage,CHICHOO,57,201,1.47,82%,142.1,0.77
skye,Shr1mp,67,149,0.95,72%,85.8,0.54
skye,SiuFatBB,78,131.3,0.79,80%,85.4,0.47
sova,Shr1mp,101,238.8,1.52,76%,157.5,0.9
sova,Knight,64,204.3,1.19,78%,145.4,0.69
sova,lucas,151,218.4,1.17,74%,146,0.79
sova,Nicc,59,201.7,1.02,76%,139.4,0.71
sova,WsLeo,136,199,0.99,78%,136.9,0.61
sova,SiuFatBB,187,163.7,0.88,69%,119.5,0.57
sova,sword9,159,167.9,0.99,70%,110.9,0.62
sova,coconut,202,144.6,0.8,71%,105.1,0.51
sova,nobody,240,175.1,0.84,66%,121.7,0.59
sova,Viva,162,168.6,0.82,68%,117.6,0.56
sova,BerLIN,53,130.3,0.46,50%,80,0.4
tejo,nephh,68,226,1.26,79%,153.8,0.79
tejo,Knight,74,149.5,1.05,73%,98.1,0.57
tejo,Ezeir,72,159.7,0.75,64%,120.6,0.54
tejo,Nicc,58,156.7,0.76,69%,108,0.53
tejo,Biank,53,169,0.77,70%,117.5,0.57
veto,yosemite,82,237,1,67%,167.1,0.84
veto,Au1,58,141.7,0.73,71%,103.6,0.47
viper,happywei,164,229.6,1.37,74%,150,0.83
viper,Yuicaw,176,208.9,1.02,73%,141,0.72
viper,deLb,143,205.4,1.13,77%,149.1,0.73
viper,CHICHOO,166,207.6,1.11,72%,137.6,0.73
