,round_win,atk_win,def_win,rnd
Kai,136,81,55,278
deLb,136,81,55,278
FengF,136,81,55,278
LuoK1ng,136,81,55,278
Viva,136,81,55,278
Spring,134,62,72,287
jowa,134,62,72,287
SiuFatBB,134,62,72,287
qiutiaN,134,62,72,287
yosemite,134,62,72,287
Life,54,33,21,141
Setrod,54,33,21,141
AAAAY,54,33,21,141
BerLIN,54,33,21,141
sScary,54,33,21,141
splash,186,94,92,349
Erv,186,94,92,349
slowly,186,94,92,349
sword9,186,94,92,349
Scales,186,94,92,349
f4ngeer,142,70,72,264
Au1,142,70,72,264
K1ra,142,70,72,264
Shr1mp,142,70,72,264
iamgrq,142,70,72,264
GuanG,62,27,35,148
GREEN,62,27,35,148
Ezeir,62,27,35,148
heybay,62,27,35,148
OBONE,62,27,35,148
zhe,176,78,98,357
stew,176,78,98,357
jkuro,176,78,98,357
Yuicaw,176,78,98,357
coconut,176,78,98,357
lucas,124,70,54,255
Haodong,124,70,54,255
Abo,124,70,54,255
Coco,124,70,54,255
Dynamite,124,70,54,255
Rarga,169,83,86,291
happywei,169,83,86,291
Lysoar,169,83,86,291
WsLeo,169,83,86,291
NoMan,169,83,86,291
Smoggy,209,117,92,400
CHICHOO,209,117,92,400
ZmjjKK,209,117,92,400
cb,209,117,92,400
nobody,209,117,92,400
nephh,218,108,110,435
rushia,218,108,110,435
Knight,130,67,63,234
whzy,218,108,110,435
bud,218,108,110,435
vo0kashu,138,68,70,291
Akeman,138,68,70,291
SpiritZ1,138,68,70,291
Nicc,138,68,70,291
Flex1n,138,68,70,291
Biank,88,41,47,201
