Player,Team,Rating 2.0,ACS,K/D,KAST%,ADR,KPR,FKPR,FDPR,HS%,CL%
happywei,XLG,1.33,239.0,1.49,77%,156.1,0.86,0.08,0.05,34%,
Yuicaw,JDG,1.21,210.0,1.05,73%,146.2,0.71,0.11,0.07,29%,
AAAAY,FPX,1.20,200.4,1.07,62%,147.3,0.76,0.06,0.05,35%,
vo0kashu,DRG,1.19,219.9,1.25,71%,143.9,0.78,0.05,0.03,27%,
Shr1mp,AG,1.15,203.9,1.14,72%,130.9,0.72,0.08,0.03,30%,
CHICHOO,EDG,1.14,202.2,1.15,74%,138.1,0.73,0.08,0.05,30%,
BerLIN,FPX,1.12,167.9,0.79,72%,119.7,0.58,0.07,0.13,36%,
f4ngeer,AG,1.11,230.7,1.28,72%,142.2,0.84,0.21,0.15,33%,
whzy,BLG,1.11,233.5,1.11,75%,149.0,0.82,0.17,0.16,25%,
splash,TYL,1.09,251.4,1.16,69%,157.5,0.88,0.18,0.17,29%,
Erv,TYL,1.08,202.4,1.10,73%,124.3,0.72,0.06,0.07,32%,
deLb,TE,1.07,215.9,1.05,69%,151.9,0.76,0.15,0.11,39%,
K1ra,AG,1.07,212.1,1.13,71%,137.1,0.75,0.10,0.14,27%,
Rarga,XLG,1.05,237.4,1.22,74%,148.8,0.85,0.16,0.13,35%,
iamgrq,AG,1.05,195.3,1.04,75%,130.0,0.69,0.07,0.07,24%,
Lysoar,XLG,1.04,188.8,1.09,78%,121.2,0.67,0.05,0.04,21%,
rushia,BLG,1.04,201.5,1.05,71%,131.4,0.70,0.12,0.11,25%,
Haodong,TEC,1.04,177.5,0.99,72%,118.4,0.64,0.07,0.07,28%,
yosemite,WOL,1.03,215.9,0.99,67%,151.6,0.74,0.10,0.11,28%,
Scales,TYL,1.03,196.5,1.07,70%,129.9,0.69,0.09,0.06,35%,
Smoggy,EDG,1.02,190.8,1.03,72%,119.5,0.68,0.06,0.06,35%,
Knight,BLG,1.02,177.8,1.06,72%,123.1,0.63,0.06,0.09,25%,
OBONE,NOVA,1.02,171.6,0.76,66%,127.9,0.56,0.06,0.10,34%,
jkuro,JDG,1.01,195.1,0.99,74%,120.0,0.69,0.07,0.07,31%,
Setrod,FPX,1.01,184.9,0.85,75%,138.0,0.66,0.09,0.10,37%,
stew,JDG,1.01,215.6,1.07,72%,135.6,0.77,0.15,0.13,28%,
Kai,TE,1.01,209.7,1.05,72%,134.5,0.75,0.16,0.13,30%,
Coco,TEC,1.01,199.3,1.06,71%,139.7,0.70,0.06,0.10,37%,
Dynamite,TEC,1.01,196.1,1.00,67%,129.1,0.71,0.11,0.14,27%,
lucas,TEC,1.01,202.6,1.06,74%,134.7,0.73,0.07,0.09,23%,
nephh,BLG,1.01,196.1,0.96,75%,129.4,0.67,0.08,0.08,24%,
slowly,TYL,1.00,219.4,1.07,70%,139.4,0.77,0.14,0.13,30%,
ZmjjKK,EDG,0.98,230.6,1.07,68%,148.1,0.83,0.22,0.16,23%,
Nicc,DRG,0.98,181.9,0.97,72%,120.1,0.65,0.06,0.05,32%,
jowa,WOL,0.98,209.0,0.99,72%,127.0,0.70,0.10,0.10,30%,
qiutiaN,WOL,0.97,191.0,0.92,70%,134.0,0.65,0.15,0.13,26%,
cb,EDG,0.97,198.1,0.96,65%,130.2,0.70,0.10,0.14,25%,
sword9,TYL,0.96,168.2,0.98,70%,110.8,0.60,0.05,0.07,26%,
Viva,TE,0.96,170.2,0.86,73%,117.2,0.56,0.06,0.05,29%,
LuoK1ng,TE,0.96,164.6,0.89,72%,115.4,0.60,0.07,0.08,30%,
SiuFatBB,WOL,0.95,152.1,0.87,71%,107.0,0.54,0.05,0.03,30%,
WsLeo,XLG,0.95,184.6,0.97,75%,124.9,0.63,0.08,0.06,24%,
GREEN,NOVA,0.93,214.7,0.97,64%,137.0,0.76,0.12,0.11,31%,
GuanG,NOVA,0.93,204.6,0.97,60%,126.6,0.76,0.10,0.20,35%,
FengF,TE,0.93,196.2,0.99,71%,131.6,0.69,0.08,0.11,33%,
SpiritZ1,DRG,0.92,208.8,0.97,64%,135.1,0.76,0.14,0.16,32%,
coconut,JDG,0.92,155.8,0.83,68%,107.8,0.55,0.05,0.07,31%,
NoMan,XLG,0.91,189.6,1.04,66%,123.6,0.69,0.16,0.17,29%,
zhe,JDG,0.91,187.3,1.01,70%,110.9,0.67,0.13,0.17,21%,
Abo,TEC,0.91,195.3,0.92,69%,120.0,0.67,0.17,0.12,28%,
Au1,AG,0.90,174.9,0.88,69%,119.9,0.60,0.07,0.07,23%,
sScary,FPX,0.90,172.9,0.72,70%,112.9,0.55,0.08,0.05,24%,
bud,BLG,0.89,162.8,0.83,67%,111.5,0.58,0.03,0.09,29%,
Ezeir,NOVA,0.89,164.3,0.73,59%,116.7,0.54,0.07,0.06,29%,
nobody,EDG,0.89,180.8,0.89,66%,121.1,0.63,0.06,0.06,31%,
Biank,BLG,0.88,158.7,0.79,71%,108.6,0.56,0.08,0.08,22%,
Flex1n,DRG,0.85,173.1,0.80,70%,112.7,0.59,0.08,0.07,28%,
Spring,WOL,0.83,182.9,0.84,66%,111.3,0.63,0.09,0.13,24%,
Akeman,DRG,0.82,185.7,0.82,66%,123.7,0.64,0.17,0.18,29%,
heybay,NOVA,0.74,157.7,0.69,65%,99.2,0.50,0.02,0.14,25%,
Life,FPX,0.65,162.9,0.63,64%,118.9,0.55,0.13,0.23,34%,
